time,open,high,low,close,tick_volume,spread,real_volume
1999-01-04,1.1801,1.1862,1.1769,1.1815,3858,50,0
1999-01-05,1.1815,1.1835,1.175,1.1758,4793,50,0
1999-01-06,1.1761,1.1773,1.1553,1.1623,4828,50,0
1999-01-07,1.1623,1.1735,1.1612,1.1712,5076,50,0
1999-01-08,1.1713,1.172,1.1533,1.1585,5120,50,0
1999-01-11,1.1575,1.161,1.1487,1.1503,4960,50,0
1999-01-12,1.1504,1.158,1.1447,1.1555,5248,50,0
1999-01-13,1.1561,1.179,1.1553,1.1681,6623,50,0
1999-01-14,1.1673,1.1728,1.1614,1.1681,5472,50,0
1999-01-15,1.1683,1.1749,1.1552,1.1562999999999999,6529,50,0
1999-01-18,1.1565,1.162,1.1564,1.1605,4054,50,0
1999-01-19,1.1605,1.1642000000000001,1.1562999999999999,1.1602999999999999,5595,50,0
1999-01-20,1.1598,1.1611,1.1539,1.1566,5736,50,0
1999-01-21,1.1567,1.1619,1.1545,1.1601,5230,50,0
1999-01-22,1.1605,1.1626,1.1559,1.1587,4559,50,0
1999-01-25,1.1579,1.1608,1.1547,1.1552,3774,50,0
1999-01-26,1.1555,1.1591,1.155,1.1562000000000001,5465,50,0
1999-01-27,1.1562000000000001,1.1565,1.1408,1.144,5975,50,0
1999-01-28,1.1445,1.147,1.1378,1.1407,5187,50,0
1999-01-29,1.1407,1.1433,1.1342,1.1367,5926,50,0
1999-02-01,1.1381999999999999,1.1397,1.129,1.1323,5667,50,0
1999-02-02,1.1323,1.1365,1.1284,1.1352,5793,50,0
1999-02-03,1.1353,1.1363,1.13,1.1306,4360,50,0
1999-02-04,1.1309,1.1346,1.1247,1.1344,5404,50,0
1999-02-05,1.1343,1.1373,1.1253,1.126,4947,50,0
1999-02-08,1.1262,1.133,1.1219999999999999,1.1315,4235,50,0
1999-02-09,1.1312,1.1345,1.1280999999999999,1.1315,4448,50,0
1999-02-10,1.1314,1.1360000000000001,1.127,1.1326,4774,50,0
1999-02-11,1.1323,1.1336,1.1214,1.1218,4279,50,0
1999-02-12,1.1219,1.1308,1.1216,1.1306,4153,50,0
1999-02-15,1.1299,1.1304,1.1221,1.1224,3527,50,0
1999-02-16,1.1227,1.1238,1.1158,1.1211,4427,50,0
1999-02-17,1.1212,1.1267,1.12,1.1247,3767,50,0
1999-02-18,1.1246,1.1280000000000001,1.1185,1.1198,4116,50,0
1999-02-19,1.1197,1.1211,1.1055,1.1058,4755,50,0
1999-02-22,1.1052,1.1064,1.0962,1.1023,4426,50,0
1999-02-23,1.1024,1.107,1.0941,1.1009,4178,50,0
1999-02-24,1.1009,1.1047,1.0926,1.1005,4638,50,0
1999-02-25,1.1004,1.1078999999999999,1.0983,1.1033,4590,50,0
1999-02-26,1.1026,1.1047,1.0955,1.1025,5065,50,0
1999-03-01,1.0988,1.1025,1.0884,1.0898,5631,50,0
1999-03-02,1.0896,1.0947,1.0857,1.0942,4575,50,0
1999-03-03,1.0941,1.0946,1.0869,1.0872,4857,50,0
1999-03-04,1.087,1.088,1.079,1.0805,4803,50,0
1999-03-05,1.0806,1.0867,1.0786,1.0818,3932,50,0
1999-03-08,1.0821,1.0925,1.0802,1.0887,4472,50,0
1999-03-09,1.0887,1.092,1.0857,1.089,4813,50,0
1999-03-10,1.0888,1.0975,1.0877,1.0943,5010,50,0
1999-03-11,1.0943,1.1057,1.0798,1.1037,5807,50,0
1999-03-12,1.1038000000000001,1.1041,1.0892,1.0905,5392,50,0
1999-03-15,1.0909,1.0961,1.0885,1.0923,3929,50,0
1999-03-16,1.0922,1.102,1.0819,1.1012,4193,50,0
1999-03-17,1.1006,1.1045,1.0937000000000001,1.1007,5054,50,0
1999-03-18,1.1009,1.107,1.0957,1.0973,5362,50,0
1999-03-19,1.0973,1.1001,1.0877,1.0889,4663,50,0
1999-03-22,1.0909,1.092,1.0852,1.0916,4385,50,0
1999-03-23,1.0914,1.0927,1.086,1.0889,4761,50,0
1999-03-24,1.089,1.0962,1.0865,1.0882,4746,50,0
1999-03-25,1.0875,1.0909,1.0826,1.0834,4342,50,0
1999-03-26,1.0835,1.0868,1.0715,1.0765,4987,50,0
1999-03-29,1.0752,1.079,1.068,1.0731,4312,50,0
1999-03-30,1.073,1.0775,1.0697,1.072,3564,50,0
1999-03-31,1.0722,1.0822,1.0686,1.0769,4767,50,0
1999-04-01,1.0763,1.0823,1.0727,1.0795,4366,50,0
1999-04-02,1.0798,1.0807,1.0766,1.0794,1901,50,0
1999-04-05,1.0795,1.0796999999999999,1.0703,1.071,2679,50,0
1999-04-06,1.071,1.0855,1.0705,1.0842,5092,50,0
1999-04-07,1.0836,1.0847,1.0765,1.0768,4698,50,0
1999-04-08,1.0769,1.0884,1.0725,1.075,5112,50,0
1999-04-09,1.0743,1.0815,1.0731,1.0794,5095,50,0
1999-04-12,1.0822,1.0879,1.0802,1.081,3946,50,0
1999-04-13,1.0807,1.0831,1.0745,1.0782,4555,50,0
1999-04-14,1.0781,1.082,1.0765,1.0814,4244,50,0
1999-04-15,1.081,1.0815,1.0692,1.0695000000000001,4649,50,0
1999-04-16,1.0693,1.0718,1.0629,1.0702,4850,50,0
1999-04-19,1.0676,1.0703,1.0591,1.0664,4622,50,0
1999-04-20,1.066,1.0685,1.061,1.062,4884,50,0
1999-04-21,1.0621,1.0637,1.0575,1.0586,4938,50,0
1999-04-22,1.0589,1.066,1.056,1.0646,4516,50,0
1999-04-23,1.0643,1.0685,1.0597,1.0608,4312,50,0
1999-04-26,1.0605,1.0628,1.0574,1.0587,4145,50,0
1999-04-27,1.0586,1.067,1.0579,1.0659,5181,50,0
1999-04-28,1.066,1.07,1.0603,1.0627,4967,50,0
1999-04-29,1.0628,1.064,1.0578,1.0614,5051,50,0
1999-04-30,1.0615,1.0635,1.0547,1.0575,4484,50,0
1999-05-03,1.0591,1.0603,1.0551,1.0565,3465,50,0
1999-05-04,1.0565,1.0635,1.0557,1.063,4683,50,0
1999-05-05,1.063,1.0774,1.0617,1.0755,4966,50,0
1999-05-06,1.0754,1.0827,1.0737,1.0796000000000001,6044,50,0
1999-05-07,1.0795,1.0814,1.0745,1.0758,4969,50,0
1999-05-10,1.073,1.0833,1.0707,1.0783,4779,50,0
1999-05-11,1.0787,1.0805,1.0702,1.0715,5491,50,0
1999-05-12,1.0714,1.0735,1.0635,1.0649,6217,50,0
1999-05-13,1.065,1.0676,1.0602,1.0657,6648,50,0
