,time,open,high,low,close,volume
0,2021-02-09 00:00:00+00:00,0.07,0.1311,0.06316,0.07,62604953.37135664
1,2021-02-10 00:00:00+00:00,0.07001,0.0812,0.06664,0.07251,75002863.8592978
2,2021-02-11 00:00:00+00:00,0.07251,0.07511,0.068,0.0696,66432996.81542223
3,2021-02-12 00:00:00+00:00,0.0696,0.073,0.06103,0.06977,77842673.95816799
4,2021-02-13 00:00:00+00:00,0.06977,0.07173,0.06582,0.06626,33293256.46164887
5,2021-02-14 00:00:00+00:00,0.06626,0.06642,0.05557,0.06266,66706080.87470533
6,2021-02-15 00:00:00+00:00,0.06266,0.06427,0.04674,0.05652,97771892.87596555
7,2021-02-16 00:00:00+00:00,0.05661,0.05984,0.05067,0.05357,62913584.76850684
8,2021-02-17 00:00:00+00:00,0.0535,0.05513,0.04808,0.04947,53493568.25262002
9,2021-02-18 00:00:00+00:00,0.0496,0.06428,0.04899,0.05881,102851541.76447757
10,2021-02-18 00:00:00+00:00,0.0496,0.06428,0.04899,0.05881,102851541.76447757
11,2021-02-19 00:00:00+00:00,0.05879,0.05965,0.05378,0.055,71350629.92543297
12,2021-02-20 00:00:00+00:00,0.05511,0.06066,0.051,0.05432,65754571.23571169
13,2021-02-21 00:00:00+00:00,0.05408,0.05982,0.05329,0.05604,47889059.03030579
14,2021-02-22 00:00:00+00:00,0.05607,0.0608,0.04619,0.0535,80514625.7835833
15,2021-02-23 00:00:00+00:00,0.05366,0.05379,0.04144,0.0477,49804694.15109077
16,2021-02-24 00:00:00+00:00,0.04757,0.0605,0.04589,0.05672,88596667.50643197
17,2021-02-25 00:00:00+00:00,0.05675,0.05809,0.04952,0.0499,58666840.30256695
18,2021-02-26 00:00:00+00:00,0.04997,0.05279,0.04849,0.05042,38604891.44651905
19,2021-02-27 00:00:00+00:00,0.0505,0.052,0.04908,0.05011,23528210.57491775
20,2021-02-28 00:00:00+00:00,0.0501,0.05023,0.04469,0.04819,27848314.07252921
21,2021-03-01 00:00:00+00:00,0.04819,0.05241,0.04793,0.05056,22317147.81006152
22,2021-03-02 00:00:00+00:00,0.05057,0.05247,0.04903,0.0503,36679264.40816676
23,2021-03-03 00:00:00+00:00,0.05029,0.0522,0.04997,0.05042,43291221.94368629
24,2021-03-04 00:00:00+00:00,0.0504,0.05117,0.0475,0.04996,39831034.46273963
25,2021-03-05 00:00:00+00:00,0.04998,0.05099,0.04796,0.04956,24153471.78164936
26,2021-03-06 00:00:00+00:00,0.04962,0.05262,0.04915,0.05095,29129893.3803822
27,2021-03-07 00:00:00+00:00,0.05094,0.05245,0.05048,0.05192,23743447.19770751
28,2021-03-08 00:00:00+00:00,0.05196,0.06305,0.05152,0.06294,129547393.32709493
29,2021-03-09 00:00:00+00:00,0.06299,0.063,0.05584,0.058,64291382.47142652
30,2021-03-10 00:00:00+00:00,0.058,0.05871,0.05418,0.05594,37273696.25772586
31,2021-03-11 00:00:00+00:00,0.05587,0.05692,0.05419,0.05587,21824830.37878352
32,2021-03-12 00:00:00+00:00,0.05606,0.05706,0.05417,0.05533,24149971.97705668
33,2021-03-13 00:00:00+00:00,0.05526,0.063,0.05469,0.06275,54886199.44304575
34,2021-03-14 00:00:00+00:00,0.0627,0.06359,0.05819,0.05819,75942563.05191422
35,2021-03-15 00:00:00+00:00,0.05824,0.05975,0.05488,0.05691,32762887.63326595
36,2021-03-16 00:00:00+00:00,0.05696,0.05906,0.05522,0.05865,35905527.07473178
37,2021-03-17 00:00:00+00:00,0.05866,0.05893,0.05656,0.05793,39289799.17713658
38,2021-03-18 00:00:00+00:00,0.05796,0.05924,0.05682,0.0573,37257757.83004976
39,2021-03-19 00:00:00+00:00,0.05727,0.05983,0.05624,0.05828,39017403.53276335
40,2021-03-20 00:00:00+00:00,0.05827,0.06064,0.05802,0.0588,36100869.63019963
41,2021-03-21 00:00:00+00:00,0.05881,0.05955,0.05672,0.05748,38473751.61770122
42,2021-03-22 00:00:00+00:00,0.05748,0.05796,0.05452,0.0549,32572255.45232438
43,2021-03-23 00:00:00+00:00,0.05489,0.05609,0.05252,0.05337,42905729.73899092
44,2021-03-24 00:00:00+00:00,0.05336,0.05667,0.05074,0.05151,34282802.00926257
45,2021-03-25 00:00:00+00:00,0.05153,0.05245,0.04961,0.05135,47205863.92623984
46,2021-03-26 00:00:00+00:00,0.05135,0.05401,0.05133,0.05401,32848351.7283645
47,2021-03-27 00:00:00+00:00,0.05402,0.05542,0.05336,0.05441,29518651.66016106
48,2021-03-28 00:00:00+00:00,0.05438,0.05487,0.053,0.05366,18053835.54520166
49,2021-03-29 00:00:00+00:00,0.05364,0.05472,0.05324,0.05414,19251034.02061572
50,2021-03-30 00:00:00+00:00,0.05413,0.05561,0.05372,0.05404,29501371.58905208
51,2021-03-31 00:00:00+00:00,0.05403,0.0545,0.05203,0.05376,39098440.64101535
52,2021-04-01 00:00:00+00:00,0.05376,0.07076,0.05366,0.06211,205532457.32056597
53,2021-04-02 00:00:00+00:00,0.06218,0.06283,0.05725,0.05756,48669950.9906776
54,2021-04-03 00:00:00+00:00,0.05762,0.05959,0.05551,0.05551,25176415.95710518
55,2021-04-04 00:00:00+00:00,0.05551,0.05836,0.05511,0.0574,23353884.15463259
56,2021-04-05 00:00:00+00:00,0.05737,0.06072,0.05624,0.05993,53082444.42196408
57,2021-04-06 00:00:00+00:00,0.05999,0.06523,0.05803,0.06435,88816930.73911612
58,2021-04-07 00:00:00+00:00,0.06441,0.06733,0.05714,0.05881,87695343.36515325
59,2021-04-08 00:00:00+00:00,0.05887,0.06228,0.05866,0.06185,27395915.63340088
60,2021-04-09 00:00:00+00:00,0.06179,0.06419,0.06051,0.06158,37924560.75996644
