,time,open,high,low,close,volume
0,2019-06-19 08:00:00+00:00,48.0,48.0,33.444,35.25,77.2834
1,2019-06-19 12:00:00+00:00,35.47,36.277,35.238,35.385,15622.04315799
2,2019-06-19 16:00:00+00:00,35.507,36.0,34.0,35.775,19895.86833972
3,2019-06-19 20:00:00+00:00,35.944,36.375,34.039,35.125,18554.66072193
4,2019-06-20 00:00:00+00:00,35.123,35.536,33.726,34.697,20354.14469796
5,2019-06-20 04:00:00+00:00,34.842,34.982,34.369,34.9,20582.0518
6,2019-06-20 08:00:00+00:00,34.947,36.519,34.0,36.001,5815.52739206
7,2019-06-20 12:00:00+00:00,36.4,36.988,36.145,36.337,767.5065
8,2019-06-20 16:00:00+00:00,36.337,36.988,36.201,36.385,730.06691902
9,2019-06-20 20:00:00+00:00,36.352,37.95,35.5,36.774,1049.15528243
10,2019-06-21 00:00:00+00:00,36.694,36.753,36.2,36.2,217.7904
11,2019-06-21 04:00:00+00:00,36.29,37.59,36.29,37.589,44.40187247
12,2019-06-21 08:00:00+00:00,37.419,37.811,37.253,37.511,363.3222
13,2019-06-21 12:00:00+00:00,37.682,37.74,37.25,37.5,249.49947026
14,2019-06-21 16:00:00+00:00,37.5,38.922,37.5,37.748,400.42089745
15,2019-06-21 20:00:00+00:00,37.762,39.192,37.762,38.75,362.94202678
16,2019-06-22 00:00:00+00:00,38.625,38.703,37.505,38.421,2883.55095244
17,2019-06-22 04:00:00+00:00,38.157,39.036,37.961,39.036,1162.4735
18,2019-06-22 08:00:00+00:00,39.21,39.473,38.896,39.473,374.8691
19,2019-06-22 12:00:00+00:00,39.21,39.965,37.5,38.7,803.89710242
20,2019-06-22 16:00:00+00:00,38.699,39.375,37.951,38.285,162.6084
21,2019-06-22 20:00:00+00:00,38.285,38.52,37.846,38.157,124.6613
22,2019-06-23 00:00:00+00:00,38.157,38.313,37.861,37.861,81.0421
23,2019-06-23 04:00:00+00:00,37.861,38.222,37.635,38.141,91.03233146
24,2019-06-23 08:00:00+00:00,37.973,38.157,37.75,38.157,57.2675
25,2019-06-23 12:00:00+00:00,38.222,38.504,37.894,38.155,40.4866
26,2019-06-23 16:00:00+00:00,37.787,38.157,37.473,37.75,295.00015312
27,2019-06-23 20:00:00+00:00,37.999,38.126,37.251,37.5,106.77451088
28,2019-06-24 00:00:00+00:00,37.5,38.2,36.17,36.631,165.694
29,2019-06-24 04:00:00+00:00,36.632,37.878,36.001,37.469,156.2621
30,2019-06-24 08:00:00+00:00,37.4,38.023,37.0,37.105,36.30386519
31,2019-06-24 12:00:00+00:00,37.367,37.59,36.657,37.59,34.83024774
32,2019-06-24 16:00:00+00:00,37.631,37.75,36.612,37.0,76.261
33,2019-06-24 20:00:00+00:00,37.105,37.631,36.986,37.2,13.72542001
34,2019-06-25 00:00:00+00:00,37.428,37.494,36.868,36.868,49.58395257
35,2019-06-25 04:00:00+00:00,37.011,37.338,36.5,36.829,174.78347384
36,2019-06-25 08:00:00+00:00,36.829,37.412,36.5,36.837,295.29502262
37,2019-06-25 12:00:00+00:00,36.697,36.837,36.418,36.418,36.30662834
38,2019-06-25 16:00:00+00:00,36.557,36.557,36.08,36.448,147.54374863
39,2019-06-25 20:00:00+00:00,36.448,36.829,35.965,36.152,170.55264021
40,2019-06-26 00:00:00+00:00,36.206,36.688,36.085,36.405,55.3627
41,2019-06-26 04:00:00+00:00,36.405,38.099,36.25,37.59,118.02618548
42,2019-06-26 08:00:00+00:00,37.506,38.046,37.167,37.619,287.32598707
43,2019-06-26 12:00:00+00:00,37.413,37.666,36.69,36.787,126.65199434
44,2019-06-26 16:00:00+00:00,37.097,37.201,36.082,36.206,457.3538
45,2019-06-26 20:00:00+00:00,36.152,36.25,34.251,35.965,554.50398939
46,2019-06-27 00:00:00+00:00,35.877,35.965,34.371,35.263,182.5309
47,2019-06-27 04:00:00+00:00,35.277,35.648,34.426,34.852,102.1155
48,2019-06-27 08:00:00+00:00,34.989,34.99,33.4,34.156,103.4677
49,2019-06-27 12:00:00+00:00,34.188,36.052,33.514,35.853,358.1219
50,2019-06-27 16:00:00+00:00,36.052,36.206,33.5,33.612,492.8817
51,2019-06-27 20:00:00+00:00,33.713,34.828,33.313,34.337,246.3545
52,2019-06-27 20:00:00+00:00,33.713,34.828,33.313,34.337,246.3545
53,2019-06-28 00:00:00+00:00,34.241,35.28,33.941,34.586,344.3961
54,2019-06-28 04:00:00+00:00,34.615,34.74,34.137,34.406,392.54931157
55,2019-06-28 08:00:00+00:00,34.405,34.798,34.201,34.597,425.89503899
56,2019-06-28 12:00:00+00:00,34.539,34.649,34.252,34.56,216.1071
57,2019-06-28 16:00:00+00:00,34.447,34.531,34.122,34.222,194.7134
58,2019-06-28 20:00:00+00:00,34.213,34.56,34.065,34.56,285.4232
59,2019-06-29 00:00:00+00:00,34.459,34.459,33.4,33.523,340.20066512
60,2019-06-29 04:00:00+00:00,33.437,33.997,33.37,33.639,371.90274913
61,2019-06-29 08:00:00+00:00,33.623,34.402,33.521,34.329,380.27678039
62,2019-06-29 12:00:00+00:00,34.402,34.498,33.976,34.264,350.17173319
63,2019-06-29 16:00:00+00:00,34.402,35.724,34.13,35.535,340.49587557
64,2019-06-29 20:00:00+00:00,35.657,35.711,35.406,35.587,333.50635534
65,2019-06-30 00:00:00+00:00,35.608,35.666,34.751,34.873,319.6595
66,2019-06-30 04:00:00+00:00,34.873,34.92,34.25,34.349,209.6524
67,2019-06-30 08:00:00+00:00,34.323,34.927,33.937,34.061,292.42456511
68,2019-06-30 12:00:00+00:00,33.937,34.188,33.0,33.445,438.9131
69,2019-06-30 16:00:00+00:00,33.322,33.75,32.8,33.377,369.22376691
70,2019-06-30 20:00:00+00:00,33.499,33.782,32.128,32.129,330.6394
71,2019-07-01 00:00:00+00:00,32.129,33.232,31.597,33.106,316.3065
72,2019-07-01 04:00:00+00:00,33.006,33.118,32.201,32.331,435.53720583
73,2019-07-01 08:00:00+00:00,32.703,34.034,32.531,33.314,279.8437
74,2019-07-01 12:00:00+00:00,33.39,33.495,31.758,32.236,305.02410159
75,2019-07-01 16:00:00+00:00,32.325,32.642,31.869,32.349,401.58988836
76,2019-07-01 20:00:00+00:00,32.425,33.491,32.425,33.257,297.5427
77,2019-07-02 00:00:00+00:00,33.209,33.316,32.263,32.574,329.9079108
78,2019-07-02 04:00:00+00:00,32.661,33.832,31.643,32.153,463.9854
79,2019-07-02 08:00:00+00:00,32.153,32.385,30.552,31.33,615.5217
80,2019-07-02 12:00:00+00:00,31.271,31.955,30.878,31.83,454.8637
81,2019-07-02 16:00:00+00:00,31.824,32.415,31.598,31.92,252.0124
82,2019-07-02 20:00:00+00:00,31.835,31.919,31.316,31.889,284.9124
83,2019-07-03 00:00:00+00:00,31.93,32.441,31.739,32.199,270.2879
84,2019-07-03 04:00:00+00:00,32.237,32.946,32.237,32.655,188.6353
85,2019-07-03 08:00:00+00:00,32.639,32.747,32.161,32.168,199.8395
86,2019-07-03 12:00:00+00:00,32.2,32.53,32.153,32.407,256.5641
87,2019-07-03 16:00:00+00:00,32.308,32.569,31.705,32.195,275.317
88,2019-07-03 20:00:00+00:00,32.245,32.59,32.025,32.492,700.8897869
89,2019-07-04 00:00:00+00:00,32.526,33.0,32.454,32.511,236.8546
90,2019-07-04 04:00:00+00:00,32.511,32.696,32.2,32.449,245.26749283
91,2019-07-04 08:00:00+00:00,32.535,34.025,32.535,33.935,338.03192377
92,2019-07-04 12:00:00+00:00,34.0,34.459,33.418,33.418,453.92368467
93,2019-07-04 16:00:00+00:00,33.437,33.536,33.005,33.408,473.1026
94,2019-07-04 20:00:00+00:00,33.471,33.784,32.946,33.065,266.4652
95,2019-07-05 00:00:00+00:00,32.946,33.055,32.449,32.939,258.63120763
96,2019-07-05 04:00:00+00:00,32.846,33.298,32.4,32.527,287.46976643
97,2019-07-05 08:00:00+00:00,32.481,33.5,32.461,33.284,194.2334
98,2019-07-05 12:00:00+00:00,33.259,33.4,32.748,32.899,210.6909
99,2019-07-05 16:00:00+00:00,32.89,33.004,32.647,32.647,247.0561
100,2019-07-05 20:00:00+00:00,32.6,32.748,32.461,32.598,224.9132
101,2019-07-06 00:00:00+00:00,32.748,32.946,32.586,32.715,244.01077912
102,2019-07-06 04:00:00+00:00,32.719,32.945,32.708,32.708,177.67844791
103,2019-07-06 08:00:00+00:00,32.769,32.946,32.62,32.62,97.4839
104,2019-07-06 12:00:00+00:00,32.741,33.242,32.637,33.051,212.9873
105,2019-07-06 16:00:00+00:00,33.0,33.0,32.604,32.895,160.037
106,2019-07-06 20:00:00+00:00,32.908,32.946,32.583,32.646,153.06474391
107,2019-07-07 00:00:00+00:00,32.582,32.665,32.326,32.578,244.5401
108,2019-07-07 04:00:00+00:00,32.57,32.64,32.452,32.53,180.3445
109,2019-07-07 08:00:00+00:00,32.53,33.333,32.487,33.255,157.9393
110,2019-07-07 12:00:00+00:00,33.26,33.4,32.859,32.894,136.3049
111,2019-07-07 16:00:00+00:00,32.93,33.339,32.779,33.025,220.06332952
112,2019-07-07 20:00:00+00:00,33.032,33.143,32.714,32.988,265.80554993
113,2019-07-08 00:00:00+00:00,32.859,33.032,32.748,32.905,156.26056747
114,2019-07-08 04:00:00+00:00,32.994,33.925,32.889,33.8,462.3378
115,2019-07-08 08:00:00+00:00,33.735,34.199,33.628,33.81,292.0053242
116,2019-07-08 12:00:00+00:00,33.932,34.066,33.737,33.815,151.9675
117,2019-07-08 16:00:00+00:00,33.736,33.872,33.0,33.276,285.3355
118,2019-07-08 20:00:00+00:00,33.364,33.54,33.0,33.375,204.52187949
119,2019-07-09 00:00:00+00:00,33.37,33.872,33.286,33.34,254.86845559
120,2019-07-09 04:00:00+00:00,33.333,33.435,33.0,33.091,216.21081351
121,2019-07-09 08:00:00+00:00,33.0,33.567,32.6,33.0,295.42298013
122,2019-07-09 12:00:00+00:00,33.036,33.073,32.677,32.822,260.53291614
123,2019-07-09 16:00:00+00:00,32.734,32.769,32.461,32.513,160.97702224
124,2019-07-09 20:00:00+00:00,32.48,32.789,32.307,32.577,283.73453461
125,2019-07-10 00:00:00+00:00,32.577,32.896,31.885,32.084,179.02630022
126,2019-07-10 04:00:00+00:00,32.083,32.198,31.61,32.072,607.72445335
127,2019-07-10 08:00:00+00:00,32.003,32.541,31.724,32.446,338.9735094
128,2019-07-10 12:00:00+00:00,32.453,32.551,30.552,30.985,666.02027075
129,2019-07-10 16:00:00+00:00,30.918,32.114,30.743,31.281,491.64240459
130,2019-07-10 20:00:00+00:00,31.29,31.426,30.708,31.268,430.28754987
131,2019-07-11 00:00:00+00:00,31.122,31.299,30.747,30.918,254.7146
132,2019-07-11 04:00:00+00:00,30.918,31.734,29.352,29.712,594.17078513
133,2019-07-11 08:00:00+00:00,29.833,29.864,29.16,29.864,440.6119
134,2019-07-11 12:00:00+00:00,29.864,30.0,28.647,28.721,610.5579
135,2019-07-11 16:00:00+00:00,28.814,29.791,28.625,29.295,392.2963
136,2019-07-11 20:00:00+00:00,29.397,30.159,28.476,29.361,448.01690996
137,2019-07-12 00:00:00+00:00,29.374,32.448,29.039,30.51,933.42556967
138,2019-07-12 04:00:00+00:00,30.598,32.686,29.792,31.812,810.38684525
139,2019-07-12 08:00:00+00:00,31.822,32.53,31.291,32.461,641.68895475
140,2019-07-12 12:00:00+00:00,32.467,32.531,31.687,31.782,507.7599
141,2019-07-12 16:00:00+00:00,31.77,32.006,31.608,32.006,377.5806
142,2019-07-12 20:00:00+00:00,32.019,32.248,31.705,31.996,458.82700582
143,2019-07-13 00:00:00+00:00,31.96,32.425,31.885,31.974,395.12958567
144,2019-07-13 04:00:00+00:00,31.915,31.96,31.248,31.358,381.2095
145,2019-07-13 08:00:00+00:00,31.409,31.96,30.847,30.933,615.63278858
146,2019-07-13 12:00:00+00:00,31.02,31.625,30.933,31.422,566.3093
147,2019-07-13 16:00:00+00:00,31.42,31.468,30.723,31.103,380.5747
148,2019-07-13 20:00:00+00:00,31.11,31.469,30.161,31.469,450.5529
149,2019-07-14 00:00:00+00:00,31.489,31.489,30.895,31.157,227.051
150,2019-07-14 04:00:00+00:00,31.186,31.241,30.747,30.893,276.475
151,2019-07-14 08:00:00+00:00,30.903,30.974,29.166,29.398,378.20381428
152,2019-07-14 12:00:00+00:00,29.423,29.608,28.6,28.73,573.4524
153,2019-07-14 16:00:00+00:00,28.714,29.823,28.714,29.113,444.6568045
154,2019-07-14 20:00:00+00:00,29.135,29.645,28.297,28.541,206.97141955
155,2019-07-15 00:00:00+00:00,28.491,28.491,26.42,28.122,400.42019216
156,2019-07-15 04:00:00+00:00,28.089,28.215,27.499,28.035,175.9634
157,2019-07-15 08:00:00+00:00,28.021,28.307,27.185,27.795,587.39250262
158,2019-07-15 12:00:00+00:00,27.825,28.174,26.775,28.059,663.57850831
159,2019-07-15 16:00:00+00:00,28.133,28.541,27.09,28.465,497.9933
160,2019-07-15 20:00:00+00:00,28.456,28.749,28.192,28.541,561.99087989
161,2019-07-16 00:00:00+00:00,28.564,29.507,28.118,28.239,285.01779624
162,2019-07-16 04:00:00+00:00,28.228,28.408,27.57,28.079,209.2125
163,2019-07-16 08:00:00+00:00,28.123,28.541,27.915,28.194,247.506
164,2019-07-16 12:00:00+00:00,28.178,28.354,27.337,27.75,668.98154185
165,2019-07-16 16:00:00+00:00,27.75,27.75,25.63,25.859,519.19300409
166,2019-07-16 20:00:00+00:00,25.886,26.041,24.862,25.045,264.0168
167,2019-07-17 00:00:00+00:00,25.13,25.516,24.059,25.062,508.5215
168,2019-07-17 04:00:00+00:00,24.964,25.764,24.886,25.489,639.6757266
169,2019-07-17 08:00:00+00:00,25.426,25.536,24.305,24.591,239.7547
170,2019-07-17 12:00:00+00:00,24.449,28.047,24.449,27.275,279.44197891
171,2019-07-17 16:00:00+00:00,27.275,27.933,27.13,27.275,268.63946542
172,2019-07-17 20:00:00+00:00,27.202,28.089,27.017,27.532,234.2353
173,2019-07-18 00:00:00+00:00,27.573,28.098,27.42,27.667,226.642
174,2019-07-18 04:00:00+00:00,27.673,29.019,27.667,28.789,599.0794
175,2019-07-18 08:00:00+00:00,28.785,29.285,28.095,29.183,462.7457
176,2019-07-18 12:00:00+00:00,29.326,29.582,26.91,28.979,933.77128166
177,2019-07-18 16:00:00+00:00,28.967,29.285,28.673,29.07,470.66879423
178,2019-07-18 20:00:00+00:00,28.958,29.374,28.958,29.1,317.1363
179,2019-07-19 00:00:00+00:00,29.094,29.583,28.85,28.978,187.60609951
180,2019-07-19 04:00:00+00:00,28.913,29.623,28.873,29.623,222.0925
181,2019-07-19 08:00:00+00:00,29.64,30.139,28.749,28.808,258.9233
182,2019-07-19 12:00:00+00:00,28.749,29.578,28.338,29.064,171.6914
183,2019-07-19 16:00:00+00:00,29.034,29.081,28.776,28.931,201.10117032
184,2019-07-19 20:00:00+00:00,28.927,29.116,28.885,29.001,132.7835
185,2019-07-20 00:00:00+00:00,29.006,31.102,28.989,30.526,490.66136411
